m,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Inclusion criteria met,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Training time (hours),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training compute cost (2020 USD),Self-supervised training,Architecture,Compute Sponsor Categorization,Abstract
NÜWA,Multimodal,,"Microsoft Research, Peking University",Industry,"Chenfei Wu, Jian Liang, Lei Ji, Fan Yang, Yuejian Fang, Daxin Jiang, Nan Duan",24/11/2021,2021,NÜWA: Visual Synthesis Pre-training for Neural visUal World creAtion,https://arxiv.org/abs/2111.12417,3.60E+01,SOTA Improvement,Yes,8.70E+08,4.84E+21,"Conceptual Captions, Moments in Time, VATEX",,,,,,,,,,,10446.84,Yes,,Industry,"This paper presents a unified multimodal pre-trained model called NÜWA that can generate new or manipulate existing visual data (i.e., images and videos) for various visual synthesis tasks. To cover language, image, and video at the same time for different scenarios, a 3D transformer encoder-decoder framework is designed, which can not only deal with videos as 3D data but also adapt to texts and images as 1D and 2D data, respectively. A 3D Nearby Attention (3DNA) mechanism is also proposed to consider the nature of the visual data and reduce the computational complexity. We evaluate NÜWA on 8 downstream tasks. Compared to several strong baselines, NÜWA achieves state-of-the-art results on text-to-image generation, text-to-video generation, video prediction, etc. Furthermore, it also shows surprisingly good zero-shot capabilities on text-guided image and video manipulation tasks. Project repo is this https URL."
SEER,Vision,,"Facebook AI Research, Inria",Industry - Academia Collaboration (Industry leaning),"Priya Goyal, Mathilde Caron, Benjamin Lefaudeux, Min Xu, Pengchao Wang, Vivek Pai, Mannat Singh, Vitaliy Liptchinsky, Ishan Misra, Armand Joulin, Piotr Bojanowski",29/07/2021,2021,Self-supervised Pretraining of Visual Features in the Wild,https://arxiv.org/abs/2103.01988,1.38E+02,,No,1.30E+09,4.42E+21,,1.00E+09,,,,,,,,,,16058.80,Yes,,Industry,"Recently, self-supervised learning methods like MoCo, SimCLR, BYOL and SwAV have reduced the gap with supervised methods. These results have been achieved in a control environment, that is the highly curated ImageNet dataset. However, the premise of self-supervised learning is that it can learn from any random image and from any unbounded dataset. In this work, we explore if self-supervision lives to its expectation by training large models on random, uncurated images with no supervision. Our final SElf-supERvised (SEER) model, a RegNetY with 1.3B parameters trained on 1B random images with 512 GPUs achieves 84.2% top-1 accuracy, surpassing the best self-supervised pretrained model by 1% and confirming that self-supervised learning works in a real world setting. Interestingly, we also observe that self-supervised models are good few-shot learners achieving 77.9% top-1 with access to only 10% of ImageNet. Code: this https URL"
ViT-G/14,Vision,,"Google Research, Brain Team",Industry,"X Zhai, A Kolesnikov, N Houlsby, L Beyer",08/06/2021,2021,Scaling Vision Transformers,https://arxiv.org/abs/2106.04560,3.02E+02,,No,1.80E+09,3.40E+21,JFT-3B,3.00E+09,,,,,,,,,,5541.84,Yes?,,Industry,"Attention-based neural networks such as the Vision Transformer (ViT) have recently attained state-of-the-art results on many computer vision benchmarks. Scale is a primary ingredient in attaining excellent results, therefore, understanding a model's scaling properties is a key to designing future generations effectively. While the laws for scaling Transformer language models have been studied, it is unknown how Vision Transformers scale. To address this, we scale ViT models and data, both up and down, and characterize the relationships between error rate, data, and compute. Along the way, we refine the architecture and training of ViT, reducing memory consumption and increasing accuracy of the resulting models. As a result, we successfully train a ViT model with two billion parameters, which attains a new state-of-the-art on ImageNet of 90.45% top-1 accuracy. The model also performs well for few-shot transfer, for example, reaching 84.86% top-1 accuracy on ImageNet with only 10 examples per class."
NEO (DL:RM-2022),Recommendation,,Facebook,Industry,"D Mudigere, Y Hao, J Huang, A Tulloch",15/09/2021,2021,Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,https://arxiv.org/abs/2104.05158,1.00E+01,,No,3.00E+12,1.10E+21,,,,,,,,,,,,2394.07,,,Industry,"Deep learning recommendation models (DLRMs) are used across many business-critical services at Facebook and are the single largest AI application in terms of infrastructure demand in its data-centers. In this paper we discuss the SW/HW co-designed solution for high-performance distributed training of large-scale DLRMs. We introduce a high-performance scalable software stack based on PyTorch and pair it with the new evolution of Zion platform, namely ZionEX. We demonstrate the capability to train very large DLRMs with up to 12 Trillion parameters and show that we can attain 40X speedup in terms of time to solution over previous systems. We achieve this by (i) designing the ZionEX platform with dedicated scale-out network, provisioned with high bandwidth, optimal topology and efficient transport (ii) implementing an optimized PyTorch-based training stack supporting both model and data parallelism (iii) developing sharding algorithms capable of hierarchical partitioning of the embedding tables along row, column dimensions and load balancing them across multiple workers; (iv) adding high-performance core operators while retaining flexibility to support optimizers with fully deterministic updates (v) leveraging reduced precision communications, multi-level memory hierarchy (HBM+DDR+SSD) and pipelining. Furthermore, we develop and briefly comment on distributed data ingestion and other supporting services that are required for the robust and efficient end-to-end training in production environments."
Wu Dao - Wen Yuan,Language,,BAAI,Non-profit,,01/03/2021,2021,China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0',https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,No,2.60E+09,6.50E+20,,,,,,,,,,,,,Yes,,Industry,
PAGnol-XL,Language,Language modelling,"LightOn, LPENS",Industry - Academia Collaboration,"Julien Launay, E.L. Tommasone, Baptiste Pannier, François Boniface, Amélie Chatelain, Alessandro Cappelli, Iacopo Poli, Djamé Seddah",16/10/2021,2021,,https://arxiv.org/pdf/2110.08554.pdf,,,No,1.50E+09,2.59E+20,,,,,,,,,,,,,Yes,,,"Access to large pre-trained models of varied architectures, in many different languages, is central to the democratization of NLP. We introduce PAGnol, a collection of French GPT models. Using scaling laws, we efficiently train PAGnol-XL (1.5B parameters) with the same computational budget as CamemBERT, a model 13 times smaller. PAGnol-XL is the largest model trained to date for the French language. We plan to train increasingly large and performing versions of PAGnol, exploring the capabilities of French extreme-scale models. For this first release, we focus on the pretraining and scaling calculations underlining PAGnol. We fit a scaling law for compute for the French language, and compare it with its English counterpart. We find the pre-training dataset significantly conditions the quality of the outputs, with common datasets such as OSCAR leading to low-quality offensive text. We evaluate our models on discriminative and generative tasks in French, comparing to other state-of-the-art French and multilingual models, and reaching the state of the art in the abstract summarization task. Our research was conducted on the public GENCI Jean Zay supercomputer, and our models up to the Large are made publicly available."
Wu Dao - Wen Hui,Multimodal,,BAAI,Non-profit,,01/03/2021,2021,China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0',https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,No,1.13E+10,1.16E+20,,,,,,,,,,,,,Yes,,Industry,
Transformer local-attention (NesT-B),Vision,,"Google cloud AI, Google research, Rutgers University",Industry - Academia Collaboration (Industry Leaning),"Zizhao Zhang, Han Zhang, Long Zhao, Ting Chen, Tomas Pfister",26/05/2021,2021,"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",https://arxiv.org/abs/2105.12723v4,5.73E+03,Highly cited,Yes,,2.41E+19,Imagenet-1k,1.28E+06,,,,,,,,,,39.51,Yes,,Industry,"Hierarchical structures are popular in recent vision transformers, however, they require sophisticated designs and massive datasets to work well. In this paper, we explore the idea of nesting basic local transformers on non-overlapping image blocks and aggregating them in a hierarchical way. We find that the block aggregation function plays a critical role in enabling cross-block non-local information communication. This observation leads us to design a simplified architecture that requires minor code changes upon the original vision transformer. The benefits of the proposed judiciously-selected design are threefold: (1) NesT converges faster and requires much less training data to achieve good generalization on both ImageNet and small datasets like CIFAR; (2) when extending our key ideas to image generation, NesT leads to a strong decoder that is 8× faster than previous transformer-based generators; and (3) we show that decoupling the feature learning and abstraction processes via this nested hierarchy in our design enables constructing a novel method (named GradCAT) for visually interpreting the learned model. Source code is available this https URL."
ERNIE 3.0,Language,,Baidu Inc. ,Industry,"Y Sun, S Wang, S Feng, S Ding, C Pang",05/07/2021,2021,ERNIE 3.0: Large-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,http://research.baidu.com/Blog/index-view?id=160,1.00E+02,,No,1.00E+10,2.35E+18,,6.68E+11,,,,,,,,,,3.83,Yes,Transformer-XL: Transformer with auxilary recurrence memory module,Industry,
Denoising Diffusion Probabilistic Models (LSUN Bedroom),Drawing,,UC Berkeley,Academia,"Jonathan Ho, Ajay Jain, Pieter Abbeel",11/06/2021,2021,Denoising Diffusion Probabilistic Models,https://arxiv.org/abs/2006.11239,9.18E+02,SOTA Improvement,Yes,2.56E+08,1.60E+18,,3.03E+06,,,,,,,,,,2.60,,,Academia,
PCL-BAIDU Wenxin (ERNIE 3.0 Titan),Language,,Baidu,Industry,"Shuohuan Wang, Yu Sun, Yang Xiang, Zhihua Wu, Siyu Ding, Weibao Gong, Shikun Feng",23/12/2021,2021,ERNIE 3.0 Titan: Exploring Larger-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,https://arxiv.org/abs/2112.12731,1.10E+01,,No,2.60E+11,3.14E+11, ERNIE 3.0 Corpus,6.68E+11,,,,,,,,,,,,,Industry,
CLIP (ResNet-50),Multimodal,Zero-shot image classification,Open AI,Industry,"Alec Radford, Jong Wook Kim, Chris Hallacy, Aditya Ramesh, Gabriel Goh, Sandhini Agarwal, Girish Sastry, Amanda Askell, Pamela Mishkin, Jack Clark, Gretchen Krueger, Ilya Sutskever",05/01/2021,2021,Learning Transferable Visual Models From Natural Language Supervision,https://arxiv.org/abs/2103.00020,2.92E+03,,Yes,8.86E+07,,Custom image-text pairs from the internet,4.00E+08,,7.00E+06,,,,,,,,,,,Industry,
BigSSL,Speech,Audio speech recognition,"Google, Apple",Industry,"Yu Zhang,  Daniel S. Park, Wei Han,James Qin, Anmol Gulati, Joel Shor, Aren Jansen, Yuanzhong Xu, Yanping Huang, Shibo Wang, Zongwei Zhou, Bo Li, Min Ma, William Chan, Jiahui Yu, Yongqiang Wang, Liangliang Cao, Khe Chai Sim, Bhuvana Ramabhadran, Tara N. Sainath, Françoise Beaufays, Zhifeng Chen, Quoc V. Le, Chung-Cheng Chiu, Ruoming Pang and Yonghui Wu",10/01/2021,2021,BigSSL: Exploring the Frontier of Large-Scale Semi-Supervised Learning for Automatic Speech Recognition,https://arxiv.org/abs/2109.13226,4.10E+01,,No,8.00E+09,,,2.56E+12,,,,,,,,,,,,,Industry,
Rational DQN Average,Games,Atari Games,TU Darmstadt,Academia,"Q Delfosse, P Schramowski, A Molina",18/02/2021,2021,Recurrent Rational Networks,https://openreview.net/forum?id=gnRmI8TatHV,3.00E+00,SOTA improvement,Yes,1.68E+06,,,,,,,,,,,,,,,,Academia,
M6-10B,Multimodal,,"Tsinghua University, Alibaba Group",Industry - Academia Collaboration (Industry leaning),"J Lin, R Men, A Yang, C Zhou, M Ding, Y Zhang",01/03/2021,2021,M6: A Chinese Multimodal Pretrainer,https://arxiv.org/abs/2103.00823,7.60E+01,,No,1.00E+10,,,1.90E+12,,,,,,,,,,,,,Industry,
M6-100B,Multimodal,,"Tsinghua University, Alibaba Group",Industry - Academia Collaboration (Industry leaning),"J Lin, R Men, A Yang, C Zhou, M Ding, Y Zhang",01/03/2021,2021,M6: A Chinese Multimodal Pretrainer,https://arxiv.org/abs/2103.00823,7.60E+01,,No,1.00E+11,,,1.90E+12,,,,,,,,,,,,,Industry,
Wu Dao - Wen Su,Other,Proteins,BAAI,Non-profit,,01/03/2021,2021,China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0',https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,No,,,,,,,,,,,,,,,Yes,,Industry,
Generative BST,Language,,Facebook AI Research,Industry,"Stephen Roller, Emily Dinan, Naman Goyal, Da Ju, Mary Williamson, Yinhan Liu, Jing Xu, Myle Ott, Kurt Shuster, Eric M. Smith, Y-Lan Boureau, Jason Weston",05/03/2021,2021,Recipes for building an open-domain chatbot,https://arxiv.org/abs/2004.13637,5.03E+02,SOTA Improvement,Yes,9.40E+09,,,,,,,,,,,,,,,,Industry,
M6-T,Multimodal,,Alibaba Group,Industry,"An Yang, Junyang Lin, Rui Men, Chang Zhou, Le Jiang, Xianyan Jia, Ang Wang, Jie Zhang, Jiamang Wang, Yong Li, Di Zhang, Wei Lin, Lin Qu, Jingren Zhou, Hongxia Yang",05/03/2021,2021,M6-T: Exploring Sparse Expert Models and Beyond,https://arxiv.org/abs/2105.15082,7.60E+01,SOTA Improvement,Yes,1.00E+12,,M6-Corpus,1.90E+12,,,,,,,,,,,Yes,,Industry,
DLRM-12T,Recommendation,,Facebook AI,Industry,"Dheevatsa Mudigere, Yuchen Hao, Jianyu Huang, Andrew Tulloch, Srinivas Sridharan, Xing Liu, Mustafa Ozdal, Jade Nie, Jongsoo Park, Liang Luo, Jie Amy Yang, Leon Gao, Dmytro Ivchenko, Aarti Basant, Yuxi Hu, Jiyan Yang, Ehsan K. Ardestani, Xiaodong Wang, Rakesh Komuravelli, Ching-Hsiang Chu, Serhat Yilmaz, Huayu Li, Jiyuan Qian, Zhuobo Feng, Yinbin Ma, Junjie Yang, Ellie Wen, Hong Li, Lin Yang, Chonglin Sun, Whitney Zhao, Dimitry Melts, Krishna Dhulipala, KR Kishore, Tyler Graf, Assaf Eisenman, Kiran Kumar Matam, Adi Gangidi, Guoqiang Jerry Chen, Manoj Krishnan, Avinash Nayak, Krishnakumar Nair, Bharath Muthiah, Mahmoud khorashadi, Pallab Bhattacharya, Petr Lapukhov, Maxim Naumov, Lin Qiao, Mikhail Smelyanskiy, Bill Jia, Vijay Rao",12/04/2021,2021,Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,https://arxiv.org/abs/2104.05158,1.00E+01,,No,1.20E+13,,,,,,,,,,,,,,,,Industry,
Wu Dao 2.0,Multimodal,,BAAI,Non-profit,A Tarantola,01/06/2021,2021,China's gigantic multi-modal AI is no one-trick pony,https://www.engadget.com/chinas-gigantic-multi-modal-ai-is-no-one-trick-pony-211414388.html,,,No,1.75E+12,,,,,,,,,,,,,,,,Industry,
Codex,Language,Code autocompletion,Open AI,Industry,"Mark Chen , Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Ponde de Oliveira Pinto, Jared Kaplan, Harri Edwards, Yuri Burda, Nicholas Joseph, Greg Brockman, Alex Ray, Raul Puri, Gretchen Krueger,  Michael Petrov, Heidy Khlaaf, Girish Sastry, Pamela Mishkin, Brooke Chan, Scott Gray, Nick Ryder, Mikhail Pavlov, Alethea Power, Lukasz Kaiser, Clemens Winter, Philippe Tillet, Felipe Petroski Such, Dave Cummings, Fotios Chantzis, Elizabeth Barnes, Ariel Herbert-Voss, William Hebgen Guss, Nikolas Tezak, Jie Tang, Igor Babuschkin, Suchir Balaji,  Shantanu Jain, William Saunders, Christopher Hesse, Andrew N. Carr, Jan Leike, Josh Achiam, Vedant Misra, Evan Morikawa, Alec Radford, Matthew Knight, Miles Brundage, Mira Murati, Katie Mayer, Peter Welinder, Bob McGrew, Dario Amodei, Sam McCandlish, Ilya Sutskever, Wojciech Zaremba ",07/07/2021,2021,Evaluating Large Language Models Trained on Code,https://openai.com/blog/openai-codex/,3.01E+02,Significant use,Yes,1.20E+10,,,3.18E+10,,,,,,,,,,,Yes,,Industry,
XLMR-XXL,Language,,Facebook AI Research,Industry,"Naman Goyal, Jingfei Du, Myle Ott, Giri Anantharaman, Alexis Conneau",17/08/2021,2021,Larger-Scale Transformers for Multilingual Masked Language Modeling,https://arxiv.org/abs/2105.00572,1.80E+01,SOTA Improvement,Yes,1.07E+10,,CC100,1.25E+11,,,,,,,,,,,,,Industry,
FLAN,Language,,Google Research,Industry,"Jason Wei, Maarten Bosma, Vincent Y. Zhao, Kelvin Guu, Adams Wei Yu, Brian Lester, Nan Du, Andrew M. Dai, Quoc V. Le",03/09/2021,2021,Finetuned Language Models Are Zero-Shot Learners,https://arxiv.org/abs/2109.01652,2.40E+02,SOTA Improvement,Yes,1.37E+11,,,1.87E+12,,,,,,,,,,,Yes,,Industry,
MEB,Search,,Microsoft Bing,Industry,"W Liu, Z Wang, X Liu, N Zeng, Y Liu, FE Alsaadi",04/09/2021,2021,Make Every feature Binary: A 135B parameter sparse neural network for massively improved search relevance,https://www.microsoft.com/en-us/research/blog/make-every-feature-binary-a-135b-parameter-sparse-neural-network-for-massively-improved-search-relevance/,2.60E+01,Significant use,Yes,1.35E+11,,,,,,,,,,,,,,,,Industry,
T0-XXL,Language,,"Hugging Face, Brown University, BigScience",Industry - Academia Collaboration (Industry leaning),"Victor Sanh, Albert Webson, Colin Raffel, Stephen H. Bach, Lintang Sutawika, Zaid Alyafeai, Antoine Chaffin, Arnaud Stiegler, Teven Le Scao, Arun Raja, Manan Dey, M Saiful Bari, Canwen Xu, Urmish Thakker, Shanya Sharma Sharma, Eliza Szczechla, Taewoon Kim, Gunjan Chhablani, Nihal Nayak, Debajyoti Datta, Jonathan Chang, Mike Tian-Jian Jiang, Han Wang, Matteo Manica, Sheng Shen, Zheng Xin Yong, Harshit Pandey, Rachel Bawden, Thomas Wang, Trishala Neeraj, Jos Rozen, Abheesht Sharma, Andrea Santilli, Thibault Fevry, Jason Alan Fries, Ryan Teehan, Stella Biderman, Leo Gao, Tali Bers, Thomas Wolf, Alexander M. Rush",15/10/2021,2021,Multitask Prompted Training Enables Zero-Shot Task Generalization,https://arxiv.org/abs/2110.08207,2.43E+02,,No,1.10E+10,,,,,,,,,,,,,,,,Industry,
Cloob,Multimodal,,"Ellis Unit Linz and LIT AI Lab, Johannes Kepler University, IARIA Vienna, HERE Technologies",Industry - Academia Collaboration (Academia Leaning),"Andreas Fürst ∗Elisabeth Rumetshofer ∗Johannes Lehner,Viet Tran,Fei Tang, Hubert Ramsauer, David Kreil, Michael Kopp, Günter Klambauer, Angela Bitto-Nemling, Sepp Hochreiter",21/10/2021,2021,CLOOB: Modern Hopfield Networks with InfoLOOB Outperform CLIP,https://arxiv.org/abs/2110.11316,2.00E+01,,No,,,,1.50E+07,,,,,,,,,,,,,Industry,
EfficientZero,Games,,"Tsinghua University, UC Berkeley, Shanghai Qi Zhi institute",Academia,"Weirui Ye, Shaohuai Liu, Thanard Kurutach, Pieter Abbeel, Yang Gao",30/10/2021,2021,Mastering Atari Games with Limited Data,https://arxiv.org/abs/2111.00210,4.00E+01,,No,,,,,,,,,,,,,,,,,Academia,
Japanese dialog transformers,Language,,NTT Communication Science Laboratories,Industry,"Hiroaki Sugiyama, Masahiro Mizukami, Tsunehiro Arimoto, Hiromi Narimatsu, Yuya Chiba, Hideharu Nakajima, Toyomi Meguro",09/11/2021,2021,Empirical Analysis of Training Strategies of Transformer-based Japanese Chit-chat Systems,https://arxiv.org/abs/2109.05217,3.10E+01,,No,1.60E+09,,,2.10E+09,,,,,,,,,,,,,Industry,
Player of Games,Games,,DeepMind,Industry,"Martin Schmid, Matej Moravcik, Neil Burch, Rudolf Kadlec, Josh Davidson, Kevin Waugh, Nolan Bard, Finbarr Timbers, Marc Lanctot, Zach Holland, Elnaz Davoodi, Alden Christianson, Michael Bowling",06/12/2021,2021,Player of Games,https://arxiv.org/abs/2112.03178,9.00E+00,SOTA Improvement,Yes,,,,,,,,,,,,,,,,,Industry,
GLIDE,Drawing,,OpenAI,Industry,"Alex Nichol, Prafulla Dhariwal, Aditya Ramesh, Pranav Shyam Pamela Mishkin Bob McGrew IlyaSutskever MarkChen",20/12/2021,2021,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,https://arxiv.org/abs/2112.10741,2.38E+02,,No,3.50E+09,,,2.50E+08,,,,,,,,,,,,,Industry,
XGLM,Language,,Meta AI,Industry,"Xi Victoria Lin, Todor Mihaylov, Mikel Artetxe, Tianlu Wang, Shuohui Chen, Daniel Simig, Myle Ott, Naman Goyal, Shruti Bhosale, Jingfei Du, Ramakanth Pasunuru, Sam Shleifer, Punit Singh Koura, Vishrav Chaudhary, Brian O’Horo, Jeff Wang, Luke Zettlemoyer, Zornitsa Kozareva, Mona Diab, Veselin Stoyanov, Xian Li",20/12/2021,2021,Few-shot Learning with Multilingual Language Models,https://arxiv.org/pdf/2112.10668.pdf,1.20E+01,SOTA improvement,Yes,7.50E+09,,Subset of CC100-XL,1.74E+09,,,,,,,,,,,Yes,,Industry,
ERNIE-ViLG,Multimodal,Vision-language generation,Baidu,Industry,"Han Zhang, Weichong Yin, Yewei Fang, Lanxin Li, Boqiang Duan, Zhihua Wu, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",31/12/2021,2021,ERNIE-ViLG: Unified Generative Pre-training for Bidirectional Vision-Language Generation,https://arxiv.org/abs/2112.15283,1.20E+01,,No,1.00E+10,,,1.45E+08,,,,,,,,,,,Yes,,,
GPT-3 175B (davinci),Language,Text autocompletion,OpenAI,Industry,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M. Ziegler, Jeffrey Wu, Clemens Winter, Christopher Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei",28/05/2020,2020,Language models are Few- Shot Learners,https://arxiv.org/abs/2005.14165,1.53E+03,Highly cited,Yes,1.75E+11,3.14E+23,CommonCrawl; WebText2; Books1; Books2; Wikipedia,3.74E+11,,7.40E+14,,,,45TB,,,,1131415.12,Yes,,Industry,"Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a large corpus of text followed by fine-tuning on a specific task. While typically task-agnostic in architecture, this method still requires task-specific fine-tuning datasets of thousands or tens of thousands of examples. By contrast, humans can generally perform a new language task from only a few examples or from simple instructions - something which current NLP systems still largely struggle to do. Here we show that scaling up language models greatly improves task-agnostic, few-shot performance, sometimes even reaching competitiveness with prior state-of-the-art fine-tuning approaches. Specifically, we train GPT-3, an autoregressive language model with 175 billion parameters, 10x more than any previous non-sparse language model, and test its performance in the few-shot setting. For all tasks, GPT-3 is applied without any gradient updates or fine-tuning, with tasks and few-shot demonstrations specified purely via text interaction with the model. GPT-3 achieves strong performance on many NLP datasets, including translation, question-answering, and cloze tasks, as well as several tasks that require on-the-fly reasoning or domain adaptation, such as unscrambling words, using a novel word in a sentence, or performing 3-digit arithmetic. At the same time, we also identify some datasets where GPT-3's few-shot learning still struggles, as well as some datasets where GPT-3 faces methodological issues related to training on large web corpora. Finally, we find that GPT-3 can generate samples of news articles which human evaluators have difficulty distinguishing from articles written by humans. We discuss broader societal impacts of this finding and of GPT-3 in general."
Meena,Language,Text autocompletion,Google AI,Industry,"Dongling Xiao, Han Zhang, Yukun Li, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",28/01/2020,2020,Towards a Human-like Open-Domain Chatbot,https://arxiv.org/abs/2001.09977,6.15E+02,,No,2.60E+09,1.12E+23,,4.00E+10,,,,,,,,,,263099.94,Yes,Evolved Transformer seq2seq model,Industry,"We present Meena, a multi-turn open-domain chatbot trained end-to-end on data mined and filtered from public domain social media conversations. This 2.6B parameter neural network is simply trained to minimize perplexity of the next token. We also propose a human evaluation metric called Sensibleness and Specificity Average (SSA), which captures key elements of a human-like multi-turn conversation. Our experiments show strong correlation between perplexity and SSA. The fact that the best perplexity end-to-end trained Meena scores high on SSA (72% on multi-turn evaluation) suggests that a human-level SSA of 86% is potentially within reach if we can better optimize perplexity. Additionally, the full version of Meena (with a filtering mechanism and tuned decoding) scores 79% SSA, 23% higher in absolute SSA than the existing chatbots we evaluated."
iGPT-XL,Drawing,Image completion,Open AI,Industry,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",17/06/2020,2020,Generative Pretraining from Pixels,https://openai.com/blog/image-gpt/,6.89E+02,,No,6.80E+09,3.30E+22,ILSVRC 2012,9.60E+06,,,,,,,,,,120440.96,Yes,,Industry,"Inspired by progress in unsupervised representation learning for natural language, we examine whether similar models can learn useful representations for images. We train a sequence Transformer to auto-regressively predict pixels, without incorporating knowledge of the 2D input structure. Despite training on low-resolution ImageNet without labels, we find that a GPT-2 scale model learns strong image representations as measured by linear probing, fine-tuning, and low-data classification. On CIFAR-10, we achieve 96.3% accuracy with a linear probe, outperforming a supervised Wide ResNet, and 99.0% accuracy with full finetuning, matching the top supervised pre-trained models. An even larger model trained on a mixture of ImageNet and web images is competitive with self-supervised benchmarks on ImageNet, achieving 72.0% top-1 accuracy on a linear probe of our features."
GShard (dense),Language,Translation,Google Brain,Industry,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",30/06/2020,2020,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/abs/2006.16668,2.95E+02,,No,2.30E+09,2.60E+22,,2.60E+11,,,,,,,,,,55219.61,Yes,,Industry,"Neural network scaling has been critical for improving the model quality in many real-world machine learning applications with vast amounts of training data and compute. Although this trend of scaling is affirmed to be a sure-fire approach for better model quality, there are challenges on the path such as the computation cost, ease of programming, and efficient implementation on parallel devices. GShard is a module composed of a set of lightweight annotation APIs and an extension to the XLA compiler. It provides an elegant way to express a wide range of parallel computation patterns with minimal changes to the existing model code. GShard enabled us to scale up multilingual neural machine translation Transformer model with Sparsely-Gated Mixture-of-Experts beyond 600 billion parameters using automatic sharding. We demonstrate that such a giant model can efficiently be trained on 2048 TPU v3 accelerators in 4 days to achieve far superior quality for translation from 100 languages to English compared to the prior art."
Turing NLG,Language,Text autocompletion,Microsoft,Industry,C Rosset,13/02/2020,2020,Turing-NLG: A 17-billion-parameter language model by Microsoft,https://www.microsoft.com/en-us/research/blog/turing-nlg-a-17-billion-parameter-language-model-by-microsoft/,1.14E+02,,No,1.70E+10,1.57E+22,,3.48E+10,,3.60E+13,,,,,,,Next token prediction,58395.62,Yes,,Industry,
GShard (600B),Language,Translation,Google Brain,Industry,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",30/06/2020,2020,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/abs/2006.16668,2.95E+02,,No,6.00E+11,1.33E+22,,2.60E+11,,,,,,,,,,27609.81,Yes,,Industry,"Neural network scaling has been critical for improving the model quality in many real-world machine learning applications with vast amounts of training data and compute. Although this trend of scaling is affirmed to be a sure-fire approach for better model quality, there are challenges on the path such as the computation cost, ease of programming, and efficient implementation on parallel devices. GShard is a module composed of a set of lightweight annotation APIs and an extension to the XLA compiler. It provides an elegant way to express a wide range of parallel computation patterns with minimal changes to the existing model code. GShard enabled us to scale up multilingual neural machine translation Transformer model with Sparsely-Gated Mixture-of-Experts beyond 600 billion parameters using automatic sharding. We demonstrate that such a giant model can efficiently be trained on 2048 TPU v3 accelerators in 4 days to achieve far superior quality for translation from 100 languages to English compared to the prior art."
